																															Class	blank	blank	blank	blank	blank	qcpool	qcpool	qcpool	qcpool	qcpool	qcpool	qcpool	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	NA	NA	NA	NA	NA	NA
6	2.978	115.05221	Unknown	[M+H]+	ion correlated with 324; found in higher mz's MsMs_337; similar chromatogram in higher mz_462; similar chromatogram in higher mz_8; similar chromatogram in higher mz_71; similar chromatogram in higher mz_509	0.917	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	144.89	Sample_CPM027_032	115.05221:86740 116.05556:16894 117.05892:515749		705	470	370	337	240	36392	39304	34216	31043	27727	28304	28478	206300	93809	330354	323716	20527	390413	145098	77630	15128	95471	126871	216489	116395	176345	200024	83017	115832	347859	197992	72168	21589	89087	132982	124220	286720	597264	107607	421576	49059	144448	61286	151656	64536	283734	231739	149785	107945	131334	132687	130334	188703	53793	140192	177012	112598	160010	92137	57913	89589	59426	38886	35998	210102	51879	146	105087	46777	101773	117887	65270	424.4970703125	32209.2642299107	144603.419553375	177.157055219497	4517.9064525898	110463.819088866
7	0.815	115.10997	Unknown	[M+H]+	similar chromatogram in higher mz_284; similar chromatogram in higher mz_503	0.917	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	60.37	Sample_CPM013_017	115.10997:26204 116.11332:3134 117.11668:1489		1527	4953	3740	978	950	50262	47269	51542	42390	45378	41156	43446	97082	75939	175940	175667	18978	93157	69487	28922	13919	108115	99824	221217	147116	142296	129520	42328	86066	136938	110125	55155	50054	132303	215537	64481	139369	107991	49413	76593	21896	32231	83774	100929	67006	174619	163933	112576	102844	168236	88918	142014	105936	53474	95243	117342	118673	77234	68113	98549	98473	71056	36032	40445	254916	110693	19274	104497	60647	96430	165422	72347	2429.64608154297	45920.4352678571	99788.3584798177	1816.23979765184	3955.21695021074	52099.1214345362
8	2.978	117.06807	Unknown	[M+H]+	found in higher mz's MsMs_337; found in higher mz's MsMs_462	0.917	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	658.49	Sample_CPM027_032	117.06807:363916 118.07142:63829 119.07478:3720		51503	8891	3035	255	303	178129	151002	130946	120443	112551	109509	110508	945817	432560	1506610	1453962	91949	1755611	620038	320999	59655	381386	521937	916909	474561	738506	828529	330593	474443	1426033	789178	291832	88914	368117	567254	502338	1135460	2524758	422360	1734331	193432	353222	234847	636190	242727	1140966	885946	565604	318669	527263	527067	557299	789645	194260	539970	704244	441897	616154	356719	188666	355434	235789	154325	136956	868445	199886	296	417067	184849	393858	459756	375384	12797.2557189941	130441.3125	591691.140916951	21921.1574686426	25666.5710525917	476154.891868468
9	6.672	118.0853	Unknown	[M+H]+		0.181	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.97	Sample_CPM009_013	118.0853:13958 119.08865:822 120.09201:0		167268	347620	162492	195122	212047	146481	108027	89965	99173	82224	94890	60104	20752	56664	7574	1716	167687	165	12109	21394	182424	52386	56740	6360	12743	10506	9758	11149	0	3083	4170	8164	119476	42183	5903	5779	6851	0	6770	0	24868	42076	58592	12919	23429	0	2213	9078	30439	25511	13336	1193	1235	61496	19590	1558	3760	0	15809	52248	25505	40702	41945	63243	1135	64919	118565	10201	42064	15586	10983	56484	216909.934375	97266.2728794643	28719.8380228678	75843.904110306	26481.8965404896	38252.3033323782
10	5.399	121.02685	Unknown	[M+H]+	ion correlated with 555	0.917	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	166.85	Sample_CPM029_034	121.02685:198102 122.0302:20857 123.03356:1559		4762	1321	11583	5328	4921	185083	172226	170552	177474	157376	164758	132251	815233	404629	1098258	989815	102479	1318104	604763	283516	79124	408257	496709	954898	583033	931445	871600	521650	516355	1352667	640282	340412	94830	371410	601449	594159	1223010	2105914	475108	1524852	270772	630289	223794	551710	284447	1069399	888811	565037	439558	576036	489160	646207	882647	228766	636976	706853	556906	626464	505000	149847	503241	274690	204086	202807	1016310	211306	9235	615148	246699	488152	545697	156985	5583.11750488281	165674.363839286	595116.585058594	3719.56950056909	17173.1500188274	391462.11975668
11	1.873	121.02694	Unknown	[M+H]+	ion correlated with 341	0.833	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	30.41	Sample_CPM026_031	121.02694:28380 122.03029:2702 123.03365:140		1766	4506	7246	1561	1501	61643	58587	55928	56255	52538	49828	46340	114286	113291	265848	304218	43869	101630	76122	38708	17809	69263	158163	269206	118041	225459	260710	31387	184897	250110	170951	68908	62409	191697	270556	64788	302495	104018	92306	69951	36819	80177	104393	187816	95021	288062	276404	253775	74838	196632	119034	173840	138034	107269	250480	171909	31401	186719	128351	47804	122523	108027	50362	47168	255706	83512	11869	128479	87278	95425	202162	87211	3315.93752441406	54445.4520089286	137826.559261068	2531.87271775601	5245.35201059625	83182.5438371428
12	0.715	121.02698	Unknown	[M+H]+	similar chromatogram in higher mz_26; similar chromatogram in higher mz_116; similar chromatogram in higher mz_22; similar chromatogram in higher mz_52; similar chromatogram in higher mz_94	0.931	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	236.83	Sample_CPM032_036	121.02698:287500 122.03033:24088 123.03369:1088		7183	14548	12489	9755	8938	193753	197611	178556	182942	168888	168599	158053	537071	287434	827287	889181	229052	1807390	664071	230259	256720	1771263	195849	1033806	306451	946442	906827	719107	513014	647888	1383882	716628	92916	268254	696801	753813	882324	1465343	508910	1560564	151284	2150132	349877	412059	122122	616947	631083	577968	624729	390083	296414	541667	480980	173857	371221	505935	538747	380192	400247	485177	282936	98086	160300	127908	980503	1029297	84088	328866	171973	331313	541073	279058	10582.740625	178343.276785714	595244.444270833	2928.52917267824	14294.272558213	453967.030591181
13	4.416	131.08476	Unknown	[M+H]+	ion correlated with 54; similar chromatogram in higher mz_54; similar chromatogram in higher mz_2498	0.583	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	44.89	Sample_CPM037_041	131.08476:29280 132.08811:3522 133.09147:1158		478	1017	1285	612	377	17078	16915	11957	11406	11601	10697	9787	88414	26541	7999	5855	2166	16743	4178	3093	2970	6213	18517	7904	4997	9722	4525	3410	4959	9744	6445	45716	3638	29615	12771	25059	39815	9214	3266	8495	3616	7786	75175	92502	28576	201324	98308	123925	54839	30376	49955	54212	54532	48658	180669	143435	24899	67116	41744	2665	82143	25143	18299	32665	145054	10272	695	90312	34042	44632	79563	36836	753.723492431641	12777.1527622768	39932.5320098877	383.940270630415	2967.19339853518	45828.2977722415
14	10.121	135.11443	Unknown	[M+H]+	found in higher mz's MsMs_497; found in higher mz's MsMs_541; found in higher mz's MsMs_1510	0.472	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	44.65	Sample_CPM028_033	135.11443:57417 136.11778:1625 137.12114:4063		5336	1574	3436	5570	7391	144875	117859	118528	136515	120661	121271	117708	202780	210908	176252	166424	163127	177628	170838	161387	85522	130762	232250	187534	356168	101667	190691	160012	197370	140742	132723	107476	115032	75043	297905	194908	169657	101155	370254	95489	111203	94078	125788	73772	121689	117401	81178	140620	130469	134833	147417	137689	105835	102962	61695	95641	144035	69858	104707	119296	87745	93581	158561	100605	64517	89687	9301	87755	88798	88795	57713	58855	4661.35107421875	125345.306919643	134629.723258464	2222.80506635758	10843.9827117761	65724.6938882784
15	1.161	135.11543	Unknown	[M+H-H2O]+	ion correlated with 28; adduct linked to 28_[M+H]+	0.903	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	10.95	Sample_CPM015_019	135.11543:14200 136.11878:2008 137.12214:1510		30501	32131	34238	27189	29605	34656	34801	34686	32986	30717	30131	27694	60113	49675	112891	112974	28166	144993	76127	30438	13156	81044	38768	109656	59587	144077	125653	66445	85272	114813	128726	50847	29493	62385	108493	60797	135685	125083	61415	102702	26037	16192	53616	79633	56228	97725	112821	87005	11353	87168	58378	91936	73520	40465	79675	71718	73997	57323	64124	7927	56385	40200	29495	29943	22341	11688	18301	62162	38256	54733	75658	7296	30732.91953125	32238.6509486607	66879.5858317057	2651.45697401473	2779.9570322377	36962.2668556387
16	0.765	137.1329	Unknown	[M+H]+		0.611	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	17.74	Sample_CPM057_062	137.1329:20604 138.13625:2173 139.13961:551		1120	2127	2462	804	548	32474	36531	34023	41580	36552	41552	35116	32258	31740	70993	117808	10446	90010	86737	28526	12093	65015	47104	94283	63945	125385	183331	54120	114879	132181	24138	45361	21540	33826	167242	35810	64883	60207	18595	80696	13669	129892	40611	54903	23471	74232	36357	31226	105889	144825	40196	128834	98391	34377	7006	74670	120450	34905	24146	79328	72477	48892	17787	10859	257907	90715	2779	23669	14409	49105	35402	73152	1412.40504150391	36832.4885602679	65128.1001912435	839.045935009946	3531.35558595604	49726.854598692
17	4.118	139.14737	Unknown	[M+H]+	ion correlated with 58; ion correlated with 39; ion correlated with 74; ion correlated with 4	0.833	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	13.36	Sample_CPM038_042	139.14737:42116 140.15072:8740 141.15408:8532		425	121	89	118	34	18775	16335	16040	15207	14697	14596	14309	111985	40302	44469	50294	2600	49728	24273	11438	3265	64495	44205	36143	21216	37239	25326	14006	16583	53964	48138	59798	12369	50101	80198	54075	70013	56353	13972	49289	7160	24671	59888	122313	82672	202698	270932	169868	53048	146126	82843	152596	128786	56623	103998	118463	108167	83089	77871	6461	81304	40996	23044	23841	221027	37727	67	94828	35720	73360	154031	11531	157.221327972412	15708.4859095982	66693.1203853607	153.534171635207	1547.98884527663	56617.7273427328
18	1.512	147.06305	Unknown	[M+H]+		0.736	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	7.79	Sample_CPM024_029	147.06305:16798 148.0664:1407 149.06976:581		5388	2934	3523	3383	1059	19250	21283	18763	19523	15420	15988	15101	22007	63247	27426	32987	6068	48109	39122	14153	5665	26530	24703	50892	125403	89835	100031	77540	29375	47473	56974	33437	21625	19672	132522	29506	117383	90052	111060	62974	29609	28188	12155	27494	20357	48497	74264	25728	20860	114173	17149	30417	99427	43064	15961	30140	33032	20205	86206	19546	14491	6434	12223	16845	34290	2013	1366	29964	57707	19379	28725	5088	3257.31884765625	17903.7380022321	42179.4586873372	1546.07230894308	2390.55911943273	33977.2775382078
19	5.505	147.06313	Unknown	[M+H]+	ion correlated with 149; found in higher mz's MsMs_549; similar chromatogram in higher mz_620; found in higher mz's MsMs_620; similar chromatogram in higher mz_1574	0.778	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	28.44	Sample_CPM057_062	147.06313:123039 148.06648:10639 149.06984:803		5973	14560	6777	7023	6245	32940	25994	20131	25432	23248	23966	24084	31318	44645	15138	19015	10043	17184	12153	31959	11876	22183	18154	25561	41306	24371	39060	20761	6950	28730	36435	126958	9869	18549	28620	61781	51303	16279	24030	31931	12495	20805	121086	18666	18824	485711	59910	504066	84278	39122	69423	17205	48947	87955	526163	180713	19491	697407	142301	1394	36971	125756	18082	31547	1061096	7612	5846	218804	23779	17417	96056	16303	8115.77412109375	25113.5217633929	94023.1570597331	3626.53778887164	3933.26604315464	186908.922356946
20	10.121	147.11365	Unknown	[M+H]+	found in higher mz's MsMs_497; found in higher mz's MsMs_541	0.486	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	24.24	Sample_CPM028_033	147.11365:43729 148.117:4063 149.12036:56770		2063	1983	1943	2987	3224	131395	84617	94783	62642	98636	65288	66228	118696	134677	96407	93630	113210	160382	87590	90991	46689	76628	156695	128753	223129	73359	137220	114322	120563	77465	66053	50869	86675	54998	150641	97249	105677	68113	279962	72581	88589	59249	64750	68933	70137	62631	54956	76193	95727	76220	77255	84167	61322	62829	44846	53343	59266	51929	80304	72465	71113	72513	98636	81638	43404	69726	3737	65272	69279	51602	41417	46565	2439.87666015625	86226.9955357143	86053.9030029297	614.723407166747	24713.8839603412	43546.7263066785
21	9.933	147.11501	Unknown	[M+H]+	found in higher mz's MsMs_495	0.167	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	27.48	Sample_CPM005_009	147.11501:8860 148.11836:0 149.12172:12091		3293	1194	2248	4018	1418	71109	55364	33115	39601	38169	40378	48518	27271	60821	43055	46291	66954	37441	32736	43587	34910	50097	83378	46234	57134	35544	44230	49723	47854	27489	25916	22829	62105	44896	56527	34965	41528	16810	49884	23494	40964	42930	27900	33179	37100	23275	32593	31387	44211	66073	30683	33690	52273	47582	26230	32136	37750	23937	35600	52916	28547	28433	59995	35687	16566	39374	3905	22530	64794	36545	17212	28885	2434.00766601563	46607.6741071429	39143.0696126302	1209.32763292022	13049.927787495	14711.3800840916
22	0.714	148.57487	Unknown	[M+H]+		0.931	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	141.19	Sample_CPM032_036	148.57487:39780 149.57822:6427 150.58158:3127		316	1194	1313	351	900	23140	23165	22718	20816	22270	23823	20601	67084	34531	111333	105621	29230	212322	78344	31055	33933	229103	22422	122890	37045	106752	116319	87317	61751	88578	181734	91846	11785	31801	84534	97880	105806	188966	62064	200953	18810	290266	43608	55514	14780	87802	84499	71774	88014	51246	39522	70172	62208	22861	52753	64917	68086	52144	52720	63689	38415	13359	19069	17523	142094	131036	10817	42641	22216	43255	74008	32729	814.541101074219	22361.8138950893	76259.0614420573	464.536838124321	1225.564924316	58431.516277976
23	5.4	148.57715	Unknown	[M+H]+		0.903	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	168.05	Sample_CPM027_032	148.57715:37460 149.5805:2253 150.58386:1352		187	837	852	130	803	30362	28194	24326	26896	26467	25475	25574	139272	65568	178970	179660	15668	221703	101217	47859	10676	58692	84165	170138	86917	141958	150708	83156	85250	232449	108259	56217	12518	59753	108757	96308	213364	407371	92154	268238	48142	108941	39331	102186	45951	186196	157913	104692	75431	88607	85259	111104	131127	35498	99535	121765	85058	100444	91793	10140	87259	40671	31722	31911	166691	31428	419	112544	43835	85914	76658	26463	561.7962890625	26756.4176897321	100693.211184692	369.009928247231	2004.71683479091	71438.3512050424
24	5.398	149.02206	Unknown	[M+H-H2O]+	ion correlated with 244; found in higher mz's MsMs_560; found in higher mz's MsMs_600; found in higher mz's MsMs_1871; adduct linked to 37_[M+H]+; found in higher mz's MsMs_555; found in higher mz's MsMs_757	0.931	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	23253.87	Sample_CPM029_034	149.02206:10707175 150.02541:1185767 151.02877:115578		61537	247359	644572	356060	574167	9392245	8979234	8912452	8539234	8417858	8172566	7741526	42283792	20059194	55286192	51262016	5040899	67508104	29832474	14722062	3738862	19865860	26398110	48610508	29629722	47528420	44912628	26227436	26447548	68053992	32087262	17929010	4774768	18360488	30653344	30146860	62773852	111643320	25567410	82845864	14444391	33429914	12062038	28968912	14375773	55294604	47487448	29077914	24016100	28258292	25184836	33837636	43513300	12734223	31266542	37293356	26177022	31634972	26447062	14905638	25444668	14385823	10309137	10242327	53524572	10969330	558629	30421902	12696282	24848270	26373590	17925982	376739.03828125	8593587.92857143	30871674.7197917	238343.782683904	551566.527559341	20226226.2719204
25	1.865	149.02217	Unknown	[M+H]+	ion correlated with 243; ion correlated with 89; similar chromatogram in higher mz_209	0.917	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4051.05	Sample_CPM026_031	149.02217:1414411 150.02552:148137 151.02888:18082		676289	724590	716672	576720	627179	2991218	2932748	2885492	2642936	2586011	2478588	2336127	5608846	5298578	13490478	15056938	2054026	5311497	3727405	1873866	1009360	3048611	7599747	13233890	5917214	11181238	13014212	1583711	8897839	12964486	8414476	3296201	2947655	9387194	13853097	3380306	15590496	5383601	4641541	3673068	1804534	3963030	5381352	9195275	4788900	14783701	14034632	13239231	4888094	10101278	6094687	8994737	6920214	5274374	12746955	8743632	1495013	9674116	6405837	6974159	5995311	5622223	2511707	2283434	13141851	4279102	698552	6534742	4265978	4989774	10702478	5267619	664289.975	2693302.89285714	7053934.97604167	62389.1448716022	248579.082275258	4184031.68491179
26	0.714	149.02385	Unknown	[M+H]+		0.931	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	27108.66	Sample_CPM032_036	149.02385:11892506 150.0272:1179408 151.03056:162271		666764	580820	589264	408062	483109	7360326	7689220	7497246	7414072	6918763	6962158	6702166	21331060	11180959	33174818	36047988	9163267	72407304	27183290	9667501	10323840	70952376	7420315	40570292	11990731	36810008	36556628	28617984	20463924	26229864	57759008	29175262	3911791	10322180	27803386	30053444	36425892	60025648	20839750	63708556	6288437	88550184	13904214	16412035	4782810	25606230	26134652	23845440	26035956	15609459	11877558	21931346	20011158	7080318	15638056	20853568	21872814	15354621	16743078	19874698	11470874	4153526	6463752	5433936	41162608	43074064	3353854	13099910	7104182	13509377	22594804	11297693	545603.7375	7220564.35714286	24187371.2833333	100808.761492846	360500.410850634	18507501.4419705
27	10.117	149.13112	Unknown	[M+H]+	found in higher mz's MsMs_497; found in higher mz's MsMs_541; found in higher mz's MsMs_1276	0.403	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	39.17	Sample_CPM028_033	149.13112:33312 150.13447:4063 151.13783:2438		4227	3566	1958	3656	4165	102262	69747	100038	81948	79776	86755	73459	92873	124470	99323	102990	91521	129039	114253	73127	45123	74921	139249	120131	219946	78128	131392	122056	106905	61176	62545	55495	81430	59858	151014	108513	95008	74747	209356	53384	66432	84253	87340	62670	56385	60704	46858	66239	82762	92901	82670	97918	70492	69349	47217	58462	69093	56095	80088	93548	60447	72465	105552	65959	50053	57688	2604	48648	76147	56785	33064	47101	3514.472265625	84855.0145089286	83099.3018880208	918.48024378575	12446.4262912513	37261.8440489502
